00:00:06.206,00:01:03.463,00:02:03.123,00:05:31.497
Scene Number,Frame Number (Start),Timecode,Start Time (seconds),Length (seconds)
1,186,00:00:06.206,6.2062,57.2572
2,1902,00:01:03.463,63.4634,59.6596
3,3690,00:02:03.123,123.123,208.374833333
4,9935,00:05:31.497,331.497833333,2.63596666667
