Frame Number,Timecode,delta_hue,delta_lum,delta_hsv_avg,delta_sat
1,00:00:00.033,10.5294753086,3.54074074074,5.36311728395,2.01913580247
2,00:00:00.066,4.21478395062,3.32280864198,3.14050411523,1.88391975309
3,00:00:00.100,0.0828395061728,0.00561728395062,0.0323251028807,0.00851851851852
4,00:00:00.133,4.68077160494,3.82611111111,3.49802469136,1.98719135802
5,00:00:00.166,0.0273765432099,0.00648148148148,0.0131378600823,0.00555555555556
6,00:00:00.200,3.68651234568,4.22160493827,3.43933127572,2.40987654321
7,00:00:00.233,3.51922839506,4.78953703704,3.68133744856,2.73524691358
8,00:00:00.266,3.81577160494,4.38061728395,3.7237345679,2.97481481481
9,00:00:00.300,3.04657407407,4.30388888889,3.65717078189,3.62104938272
10,00:00:00.333,3.24820987654,3.18632716049,3.14965020576,3.01441358025
11,00:00:00.366,0.260555555556,0.104691358025,0.192170781893,0.211265432099
12,00:00:00.400,0.547962962963,0.653425925926,0.651522633745,0.753179012346
13,00:00:00.433,0.320339506173,0.111327160494,0.21950617284,0.226851851852
14,00:00:00.466,0.366111111111,0.651203703704,0.515534979424,0.529290123457
15,00:00:00.500,0.378518518519,0.0702777777778,0.201790123457,0.156574074074
16,00:00:00.533,0.337530864198,0.58962962963,0.472438271605,0.490154320988
17,00:00:00.566,0.246635802469,0.0817901234568,0.166913580247,0.172314814815
18,00:00:00.600,0.355833333333,0.375277777778,0.381265432099,0.412685185185
19,00:00:00.633,0.0512654320988,0.031512345679,0.0431893004115,0.0467901234568
20,00:00:00.666,0.123950617284,0.280895061728,0.226862139918,0.275740740741
21,00:00:00.700,0.0902469135802,0.0512345679012,0.0783127572016,0.0934567901235
22,00:00:00.733,0.17512345679,0.199660493827,0.203343621399,0.23524691358
23,00:00:00.766,0.0475,0.0363888888889,0.0462345679012,0.0548148148148
24,00:00:00.800,0.871666666667,0.452932098765,0.638261316872,0.590185185185
25,00:00:00.833,0.327191358025,0.38299382716,0.367047325103,0.390956790123
26,00:00:00.866,0.0519135802469,0.0136728395062,0.0294135802469,0.0226543209877
27,00:00:00.900,0.434382716049,0.493950617284,0.47633744856,0.500679012346
28,00:00:00.933,0.188827160494,0.0354320987654,0.0978497942387,0.0692901234568
29,00:00:00.966,0.284660493827,0.400555555556,0.353127572016,0.374166666667
30,00:00:01.000,0.0677777777778,0.0261419753086,0.0444650205761,0.039475308642
31,00:00:01.033,0.269012345679,0.553148148148,0.4379218107,0.491604938272
32,00:00:01.066,0.0470987654321,0.0244444444444,0.0374588477366,0.0408333333333
33,00:00:01.100,0.212407407407,0.553734567901,0.416790123457,0.484228395062
34,00:00:01.133,0.0541666666667,0.0257098765432,0.0364094650206,0.0293518518519
35,00:00:01.166,0.126913580247,0.49975308642,0.355205761317,0.438950617284
36,00:00:01.200,0.0300925925926,0.0169444444444,0.0269444444444,0.0337962962963
37,00:00:01.233,0.655833333333,0.547654320988,0.603251028807,0.606265432099
38,00:00:01.266,0.121141975309,0.0241049382716,0.0645884773663,0.0485185185185
39,00:00:01.300,0.295092592593,0.50799382716,0.434434156379,0.500216049383
40,00:00:01.333,0.195061728395,0.0212654320988,0.0858641975309,0.0412654320988
41,00:00:01.366,0.54537037037,0.780524691358,0.701234567901,0.777808641975
42,00:00:01.400,0.0525,0.0204320987654,0.0323148148148,0.024012345679
43,00:00:01.433,0.710895061728,1.15561728395,0.94566872428,0.97049382716
44,00:00:01.466,0.0908024691358,0.0133024691358,0.0433950617284,0.0260802469136
45,00:00:01.500,0.589907407407,1.41716049383,1.01972222222,1.05209876543
46,00:00:01.533,0.130462962963,0.0145679012346,0.0580864197531,0.0292283950617
47,00:00:01.566,0.518425925926,1.43222222222,0.993940329218,1.03117283951
48,00:00:01.600,0.33700617284,0.145956790123,0.231790123457,0.212407407407
49,00:00:01.633,0.681111111111,1.34771604938,1.03368312757,1.07222222222
50,00:00:01.666,0.0429938271605,0.0204012345679,0.0298353909465,0.0261111111111
51,00:00:01.700,0.569320987654,1.22808641975,0.941491769547,1.02706790123
52,00:00:01.733,0.0660185185185,0.0120987654321,0.0325617283951,0.0195679012346
53,00:00:01.766,0.522345679012,1.18540123457,0.917026748971,1.04333333333
54,00:00:01.800,0.553611111111,0.874660493827,0.768847736626,0.878271604938
55,00:00:01.833,0.0577777777778,0.0133024691358,0.0332304526749,0.0286111111111
56,00:00:01.866,0.290586419753,0.658055555556,0.536841563786,0.661882716049
57,00:00:01.900,0.126203703704,0.0266358024691,0.0709259259259,0.0599382716049
58,00:00:01.933,0.446759259259,0.763518518519,0.629783950617,0.679074074074
59,00:00:01.966,0.0660185185185,0.0120061728395,0.0333024691358,0.0218827160494
60,00:00:02.000,0.292222222222,0.537592592593,0.424989711934,0.445154320988
61,00:00:02.033,0.167716049383,0.031512345679,0.0931378600823,0.0801851851852
62,00:00:02.066,0.299228395062,0.868827160494,0.598055555556,0.626111111111
63,00:00:02.100,0.189722222222,0.0362654320988,0.109763374486,0.103302469136
64,00:00:02.133,0.459228395062,0.85549382716,0.6745781893,0.709012345679
65,00:00:02.166,0.0333333333333,0.00743827160494,0.0190432098765,0.0163580246914
66,00:00:02.200,0.345895061728,0.934043209877,0.667283950617,0.721913580247
67,00:00:02.233,0.038487654321,0.0290740740741,0.034804526749,0.0368518518519
68,00:00:02.266,0.454598765432,1.15425925926,0.811666666667,0.826141975309
69,00:00:02.300,0.0471913580247,0.0181790123457,0.0312242798354,0.0283024691358
70,00:00:02.333,0.433179012346,1.09228395062,0.772417695473,0.791790123457
