00:00:03.670,00:03:15.094,00:04:43.182,00:04:57.864,00:08:41.320,00:11:41.067,00:14:21.560
Scene Number,Frame Number (Start),Timecode,Start Time (seconds),Length (seconds)
1,110,00:00:03.670,3.67033333333,191.424566667
2,5847,00:03:15.094,195.0949,88.088
3,8487,00:04:43.182,283.1829,14.6813333333
4,8927,00:04:57.864,297.864233333,223.456566667
5,15624,00:08:41.320,521.3208,179.746233333
6,21011,00:11:41.067,701.067033333,160.493666667
7,25821,00:14:21.560,861.5607,3.73706666667
