Frame Number,Timecode,delta_hue,delta_lum,delta_hsv_avg,delta_sat
1,00:00:00.033,0.30549382716,0.00558641975309,0.110936213992,0.0217283950617
2,00:00:00.066,0.117469135802,0.0197222222222,0.0487757201646,0.00913580246914
3,00:00:00.100,0.0361111111111,0.00132716049383,0.0141872427984,0.00512345679012
4,00:00:00.133,0.0698148148148,0.00117283950617,0.0251131687243,0.00435185185185
5,00:00:00.166,0.0806790123457,0.0237037037037,0.0385802469136,0.0113580246914
6,00:00:00.200,0.0377777777778,0.0171296296296,0.0191563786008,0.00256172839506
7,00:00:00.233,0.0841049382716,0.00070987654321,0.0289711934156,0.0020987654321
8,00:00:00.266,0.037962962963,0.000555555555556,0.0134362139918,0.00179012345679
9,00:00:00.300,0.080462962963,0.0175,0.0336625514403,0.00302469135802
10,00:00:00.333,0.00756172839506,0.0166049382716,0.00838477366255,0.000987654320988
11,00:00:00.367,0.0116975308642,0.000308641975309,0.0042695473251,0.000802469135802
12,00:00:00.400,0.0116975308642,0.000277777777778,0.00425925925926,0.000802469135802
13,00:00:00.433,0.00759259259259,0.0166049382716,0.00835390946502,0.000864197530864
14,00:00:00.467,0.0075,0.0166358024691,0.00841563786008,0.00111111111111
15,00:00:00.500,0.0116358024691,0.000246913580247,0.00427983539095,0.000956790123457
16,00:00:00.533,0.0116358024691,0.000277777777778,0.00429012345679,0.000956790123457
17,00:00:00.567,0.0075,0.0166666666667,0.00842592592593,0.00111111111111
18,00:00:00.600,0.0075,0.0166049382716,0.00840534979424,0.00111111111111
19,00:00:00.633,0.0116358024691,0.000246913580247,0.00427983539095,0.000956790123457
20,00:00:00.667,0.0116358024691,0.000246913580247,0.00427983539095,0.000956790123457
21,00:00:00.700,0.00796296296296,0.0166358024691,0.00858024691358,0.00114197530864
22,00:00:00.734,0.0153703703704,0.0168518518519,0.0111522633745,0.00123456790123
23,00:00:00.767,0.0144135802469,0.00033950617284,0.00525720164609,0.00101851851852
24,00:00:00.800,0.0144135802469,0.000524691358025,0.00531893004115,0.00101851851852
25,00:00:00.834,0.0153703703704,0.0167592592593,0.011121399177,0.00123456790123
26,00:00:00.867,0.0066975308642,0.0166666666667,0.00811728395062,0.000987654320988
27,00:00:00.900,0.0177777777778,0.000308641975309,0.00640946502058,0.00114197530864
28,00:00:00.934,0.0177777777778,0.000308641975309,0.00640946502058,0.00114197530864
29,00:00:00.967,0.00623456790123,0.0165740740741,0.00792181069959,0.000956790123457
30,00:00:01.001,13.7542592593,4.07719135802,6.04848765432,0.314012345679
31,00:00:01.034,27.5047839506,5.87305555556,11.6412962963,1.54604938272
32,00:00:01.067,17.1997530864,7.23456790123,8.7229218107,1.73444444444
33,00:00:01.101,17.7813580247,8.81358024691,9.72716049383,2.58654320988
34,00:00:01.134,17.267345679,9.49984567901,9.8720473251,2.84895061728
35,00:00:01.167,14.7259876543,10.1774382716,9.21112139918,2.7299382716
36,00:00:01.201,16.3792592593,11.1094135802,10.1758024691,3.0387345679
37,00:00:01.234,14.8992283951,11.3767901235,9.85273662551,3.28219135802
38,00:00:01.267,13.7416975309,11.6148148148,9.63553497942,3.55009259259
39,00:00:01.301,14.068117284,11.6808024691,9.85700617284,3.82209876543
40,00:00:01.334,11.3367901235,11.6625,9.06627572016,4.19953703704
41,00:00:01.368,8.67024691358,10.3935493827,7.61241769547,3.77345679012
42,00:00:01.401,7.58888888889,9.30524691358,6.9037037037,3.81697530864
43,00:00:01.434,5.13558641975,7.47203703704,5.255,3.15737654321
44,00:00:01.468,4.8837962963,6.0912962963,4.70937242798,3.15302469136
45,00:00:01.501,0.5875,0.487438271605,0.487150205761,0.386512345679
46,00:00:01.534,0.258333333333,0.0952160493827,0.163271604938,0.136265432099
47,00:00:01.568,1.9100617284,0.638888888889,1.09027777778,0.721882716049
48,00:00:01.601,1.89290123457,0.490895061728,1.03576131687,0.723487654321
49,00:00:01.634,0.619907407407,0.330648148148,0.426440329218,0.328765432099
50,00:00:01.668,1.38608024691,0.232407407407,0.671193415638,0.395092592593
51,00:00:01.701,0.670555555556,0.53200617284,0.542057613169,0.423611111111
52,00:00:01.735,0.212839506173,0.0348456790123,0.10128600823,0.0561728395062
53,00:00:01.768,1.96151234568,0.933950617284,1.24343621399,0.834845679012
54,00:00:01.801,0.932283950617,0.737037037037,0.749742798354,0.579907407407
55,00:00:01.835,0.124382716049,0.0362654320988,0.0699074074074,0.0490740740741
56,00:00:01.868,1.69299382716,0.608209876543,0.997386831276,0.690956790123
57,00:00:01.901,0.356327160494,0.0580555555556,0.167602880658,0.0884259259259
58,00:00:01.935,0.494938271605,0.492160493827,0.447520576132,0.355462962963
59,00:00:01.968,0.139135802469,0.0508641975309,0.0822839506173,0.0568518518519
60,00:00:02.002,0.51975308642,0.346882716049,0.376893004115,0.264043209877
61,00:00:02.035,0.25049382716,0.0423148148148,0.1129218107,0.0459567901235
62,00:00:02.068,1.81046296296,0.572160493827,0.983940329218,0.569197530864
63,00:00:02.102,0.481172839506,0.0676543209877,0.227551440329,0.133827160494
64,00:00:02.135,0.841604938272,0.804135802469,0.727530864198,0.536851851852
65,00:00:02.168,0.48475308642,0.0377777777778,0.200679012346,0.0795061728395
66,00:00:02.202,0.749444444444,0.67787037037,0.638724279835,0.488858024691
67,00:00:02.235,0.251450617284,0.0397530864198,0.115679012346,0.0558333333333
68,00:00:02.268,0.282222222222,0.328950617284,0.279547325103,0.227469135802
69,00:00:02.302,0.141358024691,0.03,0.0727263374486,0.0468209876543
70,00:00:02.335,0.18212962963,0.260432098765,0.213878600823,0.199074074074
71,00:00:02.369,0.294197530864,0.117932098765,0.193724279835,0.169043209877
72,00:00:02.402,0.437839506173,0.280401234568,0.330781893004,0.274104938272
73,00:00:02.435,0.0516975308642,0.0107407407407,0.0259465020576,0.0154012345679
74,00:00:02.469,0.441728395062,0.494197530864,0.458796296296,0.440462962963
75,00:00:02.502,0.0390740740741,0.0156172839506,0.0268930041152,0.025987654321
76,00:00:02.535,0.47487654321,0.609290123457,0.495236625514,0.401543209877
77,00:00:02.569,0.14450617284,0.0216975308642,0.0690946502058,0.0410802469136
78,00:00:02.602,0.551728395062,0.675339506173,0.563004115226,0.461944444444
79,00:00:02.635,0.126944444444,0.0141358024691,0.0554012345679,0.0251234567901
80,00:00:02.669,0.378271604938,0.455740740741,0.389043209877,0.333117283951
81,00:00:02.702,0.0517592592593,0.0148765432099,0.0283024691358,0.0182716049383
82,00:00:02.736,0.352808641975,0.450432098765,0.390051440329,0.366913580247
83,00:00:02.769,0.0352160493827,0.011512345679,0.0189711934156,0.0101851851852
84,00:00:02.802,0.404351851852,0.356481481481,0.345349794239,0.275216049383
85,00:00:02.836,0.0458950617284,0.0285802469136,0.0413065843621,0.0494444444444
86,00:00:02.869,0.219598765432,0.276759259259,0.250895061728,0.256327160494
87,00:00:02.902,0.020987654321,0.0270987654321,0.026646090535,0.0318518518519
88,00:00:02.936,0.308271604938,0.317777777778,0.29908436214,0.271203703704
89,00:00:02.969,0.0712962962963,0.017037037037,0.0452983539095,0.0475617283951
90,00:00:03.003,0.326975308642,0.349722222222,0.317602880658,0.276111111111
91,00:00:03.036,0.0397222222222,0.00466049382716,0.0171913580247,0.00719135802469
92,00:00:03.069,0.165895061728,0.306604938272,0.243765432099,0.258796296296
93,00:00:03.103,0.0480864197531,0.0137037037037,0.0259465020576,0.016049382716
94,00:00:03.136,0.51462962963,0.793179012346,0.624423868313,0.565462962963
95,00:00:03.169,0.18049382716,0.106049382716,0.145185185185,0.149012345679
96,00:00:03.203,0.650987654321,1.00555555556,0.800864197531,0.746049382716
97,00:00:03.236,0.0225308641975,0.015524691358,0.0188683127572,0.018549382716
98,00:00:03.269,0.282808641975,0.395895061728,0.342541152263,0.348919753086
99,00:00:03.303,0.0476234567901,0.0205864197531,0.0369238683128,0.0425617283951
