00:00:00.033,00:00:03.470,00:00:05.705,00:00:06.473,00:00:08.408,00:03:00.747,00:03:09.422,00:05:13.012,00:05:50.149
Scene Number,Frame Number (Start),Timecode,Start Time (seconds),Length (seconds)
1,1,00:00:00.033,0.0333666666667,3.43676666667
2,104,00:00:03.470,3.47013333333,2.23556666667
3,171,00:00:05.705,5.7057,0.767433333333
4,194,00:00:06.473,6.47313333333,1.93526666667
5,252,00:00:08.408,8.4084,172.338833333
6,5417,00:03:00.747,180.747233333,8.67533333333
7,5677,00:03:09.422,189.422566667,123.590133333
8,9381,00:05:13.012,313.0127,37.1371
9,10494,00:05:50.149,350.1498,4.43776666667
