Frame Number,Timecode,delta_hue,delta_lum,delta_hsv_avg,delta_sat
1,00:00:00.033,0.10962962963,0.00404320987654,0.0402880658436,0.00719135802469
2,00:00:00.066,0.116882716049,0.0194135802469,0.0565843621399,0.0334567901235
3,00:00:00.100,0.0127777777778,0.00484567901235,0.0062037037037,0.000987654320988
4,00:00:00.133,0.00361111111111,0.00101851851852,0.00172839506173,0.000555555555556
5,00:00:00.166,0.0033950617284,0.00033950617284,0.00139917695473,0.000462962962963
6,00:00:00.200,0.00762345679012,0.00314814814815,0.00388888888889,0.000895061728395
7,00:00:00.233,0.0,0.0,0.0,0.0
8,00:00:00.266,11.2683333333,4.22787037037,5.34968106996,0.552839506173
9,00:00:00.300,15.5775925926,4.51108024691,7.10639917695,1.23052469136
10,00:00:00.333,9.55444444444,5.96194444444,5.77205761317,1.79978395062
11,00:00:00.367,11.364845679,6.72614197531,6.75447530864,2.1724382716
12,00:00:00.400,14.8668209877,7.43561728395,8.37942386831,2.83583333333
13,00:00:00.433,15.2176851852,7.93046296296,8.75267489712,3.10987654321
14,00:00:00.467,16.6485802469,8.9674382716,9.82991769547,3.8737345679
15,00:00:00.500,16.049845679,9.2787962963,9.80810699588,4.09567901235
16,00:00:00.533,13.3264506173,9.47342592593,9.08770576132,4.46324074074
17,00:00:00.567,10.5266049383,9.025,8.06106995885,4.63160493827
18,00:00:00.600,9.32614197531,8.37895061728,7.49811728395,4.78925925926
19,00:00:00.633,7.53419753086,7.7549382716,6.59279835391,4.48925925926
20,00:00:00.667,6.74632716049,5.85959876543,5.46227366255,3.78089506173
21,00:00:00.700,5.19055555556,5.11330246914,4.57638888889,3.42530864198
22,00:00:00.734,4.25651234568,3.9200617284,3.73966049383,3.04240740741
23,00:00:00.767,0.792685185185,0.317685185185,0.537983539095,0.503580246914
24,00:00:00.800,1.27861111111,0.522530864198,0.848323045267,0.743827160494
25,00:00:00.834,4.46234567901,0.65287037037,1.93377572016,0.686111111111
26,00:00:00.867,0.220925925926,0.089012345679,0.156913580247,0.160802469136
27,00:00:00.900,0.645339506173,0.615339506173,0.53316872428,0.338827160494
28,00:00:00.934,0.119012345679,0.42487654321,0.203014403292,0.0651543209877
29,00:00:00.967,0.104074074074,0.419228395062,0.192458847737,0.0540740740741
30,00:00:01.001,0.043950617284,0.0455864197531,0.0493621399177,0.058549382716
31,00:00:01.034,0.0492901234568,0.0265740740741,0.0434979423868,0.0546296296296
32,00:00:01.067,0.860679012346,0.645524691358,0.637818930041,0.40725308642
33,00:00:01.101,0.201604938272,0.403919753086,0.223734567901,0.0656790123457
34,00:00:01.134,0.065524691358,0.0274074074074,0.0442592592593,0.0398456790123
35,00:00:01.167,0.106265432099,0.410432098765,0.189362139918,0.0513888888889
36,00:00:01.201,0.0289197530864,0.020987654321,0.0322839506173,0.0469444444444
37,00:00:01.234,0.136296296296,0.0494135802469,0.0939300411523,0.0960802469136
38,00:00:01.267,0.17737654321,0.0482407407407,0.102860082305,0.082962962963
39,00:00:01.301,10.319845679,0.133209876543,3.76033950617,0.827962962963
40,00:00:01.334,0.164598765432,0.0393827160494,0.0921296296296,0.0724074074074
41,00:00:01.368,0.0773765432099,0.0420061728395,0.0639403292181,0.0724382716049
42,00:00:01.401,1.24447530864,0.417685185185,0.783323045267,0.687808641975
43,00:00:01.434,0.170586419753,0.0622839506173,0.117469135802,0.119537037037
44,00:00:01.468,0.680617283951,0.216141975309,0.426903292181,0.383950617284
45,00:00:01.501,0.186975308642,0.0686728395062,0.146049382716,0.1825
46,00:00:01.534,0.988765432099,0.209691358025,0.549351851852,0.449598765432
47,00:00:01.568,0.311388888889,0.0633024691358,0.169711934156,0.134444444444
48,00:00:01.601,0.793302469136,0.21549382716,0.490781893004,0.463549382716
49,00:00:01.634,0.128950617284,0.0327160493827,0.0817283950617,0.0835185185185
50,00:00:01.668,0.764537037037,0.231419753086,0.481769547325,0.449351851852
51,00:00:01.701,0.11450617284,0.0423765432099,0.0906275720165,0.115
52,00:00:01.735,0.184969135802,0.136820987654,0.196419753086,0.267469135802
53,00:00:01.768,0.958364197531,0.134043209877,0.472335390947,0.324598765432
54,00:00:01.801,0.190462962963,0.128580246914,0.203405349794,0.291172839506
55,00:00:01.835,0.451913580247,0.12787037037,0.293117283951,0.299567901235
56,00:00:01.868,0.14024691358,0.0215432098765,0.0857201646091,0.0953703703704
57,00:00:01.901,0.97475308642,0.205462962963,0.537386831276,0.431944444444
58,00:00:01.935,0.181419753086,0.0499382716049,0.118436213992,0.123950617284
59,00:00:01.968,0.0705864197531,0.0420061728395,0.0620473251029,0.073549382716
60,00:00:02.002,0.0710185185185,0.0283950617284,0.0527674897119,0.0588888888889
61,00:00:02.035,0.140648148148,0.0572530864198,0.105812757202,0.119537037037
62,00:00:02.068,0.675401234568,0.124598765432,0.381635802469,0.344907407407
63,00:00:02.102,0.212962962963,0.0778703703704,0.151676954733,0.164197530864
64,00:00:02.135,0.048487654321,0.017962962963,0.0344855967078,0.0370061728395
65,00:00:02.168,0.0543827160494,0.066450617284,0.0900308641975,0.149259259259
66,00:00:02.202,0.0606481481481,0.0220679012346,0.0570473251029,0.0884259259259
67,00:00:02.235,0.0781481481481,0.0478395061728,0.085853909465,0.131574074074
68,00:00:02.268,0.102283950617,0.0451851851852,0.106646090535,0.172469135802
69,00:00:02.302,0.0632716049383,0.0477160493827,0.0744238683128,0.112283950617
70,00:00:02.335,0.0170679012346,0.018950617284,0.0244238683128,0.0372530864198
71,00:00:02.369,0.129969135802,0.0573148148148,0.128004115226,0.196728395062
72,00:00:02.402,0.526111111111,0.0695987654321,0.276748971193,0.234537037037
73,00:00:02.435,0.346604938272,0.10975308642,0.224773662551,0.217962962963
74,00:00:02.469,0.204783950617,0.041049382716,0.109814814815,0.0836111111111
