00:00:42.142,00:01:28.121,00:02:06.259,00:05:39.172,00:06:04.197
Scene Number,Frame Number (Start),Timecode,Start Time (seconds),Length (seconds)
1,1263,00:00:42.142,42.1421,45.9792666667
2,2641,00:01:28.121,88.1213666667,38.1381
3,3784,00:02:06.259,126.259466667,212.9127
4,10165,00:05:39.172,339.172166667,25.025
5,10915,00:06:04.197,364.197166667,0.667333333333
