Frame Number,Timecode,delta_hue,delta_lum,delta_hsv_avg,delta_sat
1,00:00:00.033,0.230925925926,0.0105555555556,0.0921296296296,0.0349074074074
2,00:00:00.066,0.0913271604938,0.00506172839506,0.0356995884774,0.0107098765432
3,00:00:00.100,0.0471604938272,0.00246913580247,0.0189814814815,0.00731481481481
4,00:00:00.133,0.0484259259259,0.00212962962963,0.0189814814815,0.00638888888889
5,00:00:00.166,0.13262345679,0.0105864197531,0.0535288065844,0.0173765432099
6,00:00:00.200,0.026975308642,0.00200617283951,0.0102880658436,0.00188271604938
7,00:00:00.233,0.0490432098765,0.000771604938272,0.0173148148148,0.00212962962963
8,00:00:00.266,0.0574382716049,0.000925925925926,0.0201748971193,0.00216049382716
9,00:00:00.300,0.0977777777778,0.00317901234568,0.0356790123457,0.00608024691358
10,00:00:00.333,0.0215740740741,0.000864197530864,0.00783950617284,0.00108024691358
11,00:00:00.367,0.0159259259259,0.000493827160494,0.00554526748971,0.000216049382716
12,00:00:00.400,0.00632716049383,0.000308641975309,0.0022633744856,0.000154320987654
13,00:00:00.433,0.0162345679012,0.0012037037037,0.00621399176955,0.0012037037037
14,00:00:00.467,0.0139197530864,0.000771604938272,0.00505144032922,0.000462962962963
15,00:00:00.500,0.00824074074074,0.000277777777778,0.00301440329218,0.000524691358025
16,00:00:00.533,0.00901234567901,0.000246913580247,0.00327160493827,0.000555555555556
17,00:00:00.567,0.00913580246914,0.000771604938272,0.00342592592593,0.00037037037037
18,00:00:00.600,0.00913580246914,0.000771604938272,0.00342592592593,0.00037037037037
19,00:00:00.633,0.0066049382716,0.000216049382716,0.0023353909465,0.000185185185185
20,00:00:00.667,0.0066049382716,0.000216049382716,0.0023353909465,0.000185185185185
21,00:00:00.700,0.00913580246914,0.000771604938272,0.00342592592593,0.00037037037037
22,00:00:00.734,0.00913580246914,0.000740740740741,0.00341563786008,0.00037037037037
23,00:00:00.767,0.0066049382716,0.00037037037037,0.00238683127572,0.000185185185185
24,00:00:00.800,0.00583333333333,0.000277777777778,0.00208847736626,0.000154320987654
25,00:00:00.834,0.00836419753086,0.000802469135802,0.00316872427984,0.00033950617284
26,00:00:00.867,0.00975308641975,0.000833333333333,0.00365226337449,0.00037037037037
27,00:00:00.900,0.00645061728395,0.000216049382716,0.00227366255144,0.000154320987654
28,00:00:00.934,0.00583333333333,0.000216049382716,0.00206790123457,0.000154320987654
29,00:00:00.967,0.00913580246914,0.000833333333333,0.00344650205761,0.00037037037037
30,00:00:01.001,0.463734567901,0.692962962963,0.399032921811,0.0404012345679
31,00:00:01.034,9.47021604938,1.15512345679,3.75758230453,0.647407407407
32,00:00:01.067,5.3474691358,1.55780864198,2.52416666667,0.667222222222
33,00:00:01.101,3.33265432099,1.79089506173,2.04774691358,1.01969135802
34,00:00:01.134,3.44265432099,1.95802469136,2.11420781893,0.941944444444
35,00:00:01.167,2.5524691358,2.20672839506,1.92937242798,1.02891975309
36,00:00:01.201,2.9787345679,2.31354938272,2.15685185185,1.17827160494
37,00:00:01.234,2.58484567901,2.3250617284,2.02205761317,1.1562654321
38,00:00:01.267,3.13052469136,2.35882716049,2.3241872428,1.48320987654
39,00:00:01.301,3.03836419753,2.1412037037,2.30894032922,1.74725308642
40,00:00:01.334,2.20515432099,1.83777777778,1.77119341564,1.27064814815
41,00:00:01.368,2.02336419753,1.82814814815,1.84853909465,1.69410493827
42,00:00:01.401,1.63132716049,1.93231481481,1.80670781893,1.85648148148
43,00:00:01.434,1.66780864198,1.28037037037,1.57434156379,1.77484567901
44,00:00:01.468,1.4237962963,1.13324074074,1.44064814815,1.76490740741
45,00:00:01.501,0.696697530864,0.326851851852,0.485308641975,0.43237654321
46,00:00:01.534,0.10975308642,0.0479938271605,0.0788580246914,0.0788271604938
47,00:00:01.568,0.750432098765,0.343425925926,0.541306584362,0.530061728395
48,00:00:01.601,1.07089506173,0.23,0.57945473251,0.437469135802
49,00:00:01.634,0.880925925926,0.415956790123,0.591872427984,0.478734567901
50,00:00:01.668,0.0888888888889,0.0298148148148,0.0605658436214,0.0629938271605
51,00:00:01.701,1.5987962963,0.495925925926,0.931635802469,0.700185185185
52,00:00:01.735,0.183086419753,0.0310802469136,0.0971502057613,0.0772839506173
53,00:00:01.768,0.998302469136,0.638888888889,0.762037037037,0.648919753086
54,00:00:01.801,0.126975308642,0.0248765432099,0.0654526748971,0.0445061728395
55,00:00:01.835,1.0125617284,0.724845679012,0.842973251029,0.791512345679
56,00:00:01.868,0.106419753086,0.0321604938272,0.0646296296296,0.0553086419753
57,00:00:01.901,0.606944444444,0.440617283951,0.521923868313,0.518209876543
58,00:00:01.935,0.483055555556,0.287530864198,0.383261316872,0.379197530864
59,00:00:01.968,0.0436728395062,0.0239197530864,0.0371090534979,0.0437345679012
60,00:00:02.002,0.366790123457,0.20049382716,0.280997942387,0.275709876543
61,00:00:02.035,0.0787345679012,0.0230864197531,0.046646090535,0.0381172839506
62,00:00:02.068,0.406450617284,0.183858024691,0.276234567901,0.238395061728
63,00:00:02.102,0.0447839506173,0.0297839506173,0.0445576131687,0.0591049382716
64,00:00:02.135,0.435,0.208981481481,0.308106995885,0.280339506173
65,00:00:02.168,0.0516975308642,0.0224691358025,0.0391563786008,0.0433024691358
66,00:00:02.202,0.408425925926,0.277283950617,0.342664609053,0.342283950617
67,00:00:02.235,0.0638580246914,0.0217901234568,0.0458641975309,0.0519444444444
68,00:00:02.268,0.38287037037,0.338580246914,0.377232510288,0.41024691358
69,00:00:02.302,0.00225308641975,0.00666666666667,0.0066049382716,0.0108950617284
70,00:00:02.335,0.332037037037,0.278827160494,0.307222222222,0.310802469136
71,00:00:02.369,0.607345679012,0.157561728395,0.360390946502,0.316265432099
72,00:00:02.402,0.522469135802,0.445833333333,0.497602880658,0.52450617284
73,00:00:02.435,0.152469135802,0.0374382716049,0.0886625514403,0.0760802469136
74,00:00:02.469,0.690555555556,0.43462962963,0.548055555556,0.518981481481
75,00:00:02.502,0.0837037037037,0.0182716049383,0.0463374485597,0.037037037037
76,00:00:02.535,0.709598765432,0.484259259259,0.577232510288,0.537839506173
77,00:00:02.569,0.0344135802469,0.0176234567901,0.0290637860082,0.0351543209877
78,00:00:02.602,0.922438271605,0.54487654321,0.683724279835,0.583858024691
79,00:00:02.635,0.128703703704,0.0165432098765,0.061183127572,0.0383024691358
80,00:00:02.669,1.0624382716,0.743518518519,0.861141975309,0.777469135802
81,00:00:02.702,0.0479320987654,0.0138271604938,0.0301748971193,0.0287654320988
82,00:00:02.736,1.19469135802,0.737098765432,0.902890946502,0.776882716049
83,00:00:02.769,0.0536728395062,0.0161728395062,0.0360082304527,0.0381790123457
84,00:00:02.802,0.871419753086,0.674197530864,0.745041152263,0.68950617284
85,00:00:02.836,0.0503086419753,0.0175,0.0370164609053,0.0432407407407
86,00:00:02.869,1.00555555556,0.757932098765,0.870133744856,0.846913580247
87,00:00:02.902,0.0243209876543,0.0142592592593,0.0227777777778,0.0297530864198
88,00:00:02.936,1.12,0.891604938272,0.974825102881,0.91287037037
89,00:00:02.969,0.0423148148148,0.0146604938272,0.0283744855967,0.0281481481481
90,00:00:03.003,0.898024691358,0.711728395062,0.793148148148,0.769691358025
91,00:00:03.036,0.0253703703704,0.0126543209877,0.0207304526749,0.0241666666667
92,00:00:03.069,0.593950617284,0.396882716049,0.478693415638,0.44524691358
93,00:00:03.103,0.102098765432,0.0402469135802,0.0713271604938,0.0716358024691
94,00:00:03.136,1.38425925926,1.06237654321,1.15738683128,1.02552469136
95,00:00:03.169,0.470030864198,0.171419753086,0.331296296296,0.352438271605
96,00:00:03.203,1.78475308642,1.27429012346,1.40958847737,1.16972222222
97,00:00:03.236,0.0657407407407,0.0275617283951,0.0482613168724,0.0514814814815
98,00:00:03.269,1.27283950617,0.956172839506,1.06825102881,0.975740740741
99,00:00:03.303,0.0355864197531,0.00685185185185,0.0192695473251,0.0153703703704
100,00:00:03.336,0.954413580247,0.765308641975,0.855061728395,0.845462962963
101,00:00:03.370,0.0725925925926,0.013487654321,0.0361934156379,0.0225
102,00:00:03.403,1.19040123457,0.866635802469,0.99633744856,0.931975308642
103,00:00:03.436,0.0328703703704,0.0141049382716,0.0250102880658,0.0280555555556
104,00:00:03.470,0.785648148148,0.585154320988,0.66787037037,0.632808641975
105,00:00:03.503,0.0448148148148,0.0149691358025,0.0281378600823,0.0246296296296
106,00:00:03.536,0.861882716049,0.711975308642,0.790154320988,0.796604938272
107,00:00:03.570,0.0244135802469,0.017037037037,0.0233847736626,0.0287037037037
108,00:00:03.603,0.745524691358,0.553117283951,0.628065843621,0.585555555556
109,00:00:03.636,0.0272530864198,0.017962962963,0.0279938271605,0.0387654320988
110,00:00:03.670,0.484413580247,0.394104938272,0.457448559671,0.493827160494
111,00:00:03.703,0.0524074074074,0.0157098765432,0.0358333333333,0.0393827160494
112,00:00:03.737,0.454537037037,0.344413580247,0.399588477366,0.399814814815
113,00:00:03.770,0.00944444444444,0.00888888888889,0.0104526748971,0.013024691358
114,00:00:03.803,0.570339506173,0.303950617284,0.426965020576,0.406604938272
115,00:00:03.837,0.0208333333333,0.0269444444444,0.0318724279835,0.0478395061728
116,00:00:03.870,0.515308641975,0.338055555556,0.423899176955,0.418333333333
117,00:00:03.903,0.0500925925926,0.00753086419753,0.0253395061728,0.0183950617284
118,00:00:03.937,0.53737654321,0.373580246914,0.449722222222,0.438209876543
119,00:00:03.970,0.228549382716,0.0882716049383,0.17737654321,0.215308641975
120,00:00:04.004,0.916512345679,0.698271604938,0.792654320988,0.763179012346
121,00:00:04.037,0.0625925925926,0.0233333333333,0.0447530864198,0.0483333333333
122,00:00:04.070,1.07154320988,0.728981481481,0.851615226337,0.754320987654
123,00:00:04.104,0.0950617283951,0.0251234567901,0.0578703703704,0.0534259259259
124,00:00:04.137,0.970648148148,0.761296296296,0.82695473251,0.748919753086
125,00:00:04.170,0.0816358024691,0.0278086419753,0.0534465020576,0.0508950617284
126,00:00:04.204,0.522438271605,0.381635802469,0.44396090535,0.427808641975
127,00:00:04.237,0.0412037037037,0.0183024691358,0.0297427983539,0.0297222222222
128,00:00:04.270,0.44012345679,0.291666666667,0.359063786008,0.345401234568
129,00:00:04.304,0.034537037037,0.0251851851852,0.0352263374486,0.0459567901235
130,00:00:04.337,0.445617283951,0.332962962963,0.380802469136,0.363827160494
